offer_title,price,price_per_meter,offer_type,floor,area,rooms,offer_type_of_building,market,city_name,voivodeship,month,year,population,longitude,latitude
Kawalerka na sprzedaĹĽ,240000,8888.89,Private,1,27,1,Housing Block,primary,BolesĹ‚awiec,Lower Silesia,January,2022,39603,15.5651049,51.2630333
Nowoczesna kawalerka z winda plus garaĹĽ podziemny,250000,7142.86,Private,1,35,1,Housing Block,primary,Jelcz-Laskowice,Lower Silesia,January,2022,15828,17.3499638,51.0398306
Nowa kawalerka z Balkonem/Legnicka/Magnolia,259000,10360,Estate Agency,2,25,1,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Kawalerka z balkonem/klucze I kwartaĹ‚ 2022/60 tyĹ› taniej niĹĽ u dewelop,269000,10275.02,Private,3,26.18,1,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
40 tys. taniej od dewelopera/Kawalerka/Magnolia/Legnicka,258000,9923.08,Estate Agency,3,26,1,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Mieszkanie na start,255000,11283.19,Private,3,22.6,1,Housing Block,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Okazja! Na sprzedaĹĽ nowa kawalerka przy Odrze w centrum WrocĹ‚awia!,416120,12975.37,Estate Agency,5,32.07,1,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
"Bulwary Staromiejskie, kawalerka z balkonem widok na OdrÄ™ i park",275900,14913.51,Estate Agency,4,18.5,1,Apartment Building,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
B Urban - Kawalerki inwestycyjne pod wynajem,201000,8040,Estate Agency,,,1,,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Sprzedam punkt w Pasazu ZieliĹ„skiego,1000,100,Private,0,10,1,Other,primary,WrocĹ‚aw,Lower Silesia,January,2022,634487,17.0326689,51.1089776
Mieszkanie sprzedam,275000,9482.76,Private,2,29,1,Apartment Building,primary,Brodnica,Kuyavia-Pomerania,January,2022,28579,19.3993626,53.258092
"Enklawa, nowa kawalerka o powierzchni 33mÂ˛ na skraju MyĹ›lÄ™cinka.",265000,7794.12,Private,2,34,1,Housing Block,primary,Bydgoszcz,Kuyavia-Pomerania,January,2022,350178,18.0002529,53.1219648
Nowe mieszkania w WÄ…brzeĹşnie,154680,154680,Estate Agency,3,1,1,Housing Block,primary,WÄ…brzeĹşno,Kuyavia-Pomerania,January,2022,14040,18.947293,53.2799665
"PrzedsprzedaĹĽ nowej Kamienicy Miasteczka na Szlaku Kultur, SASS IIEtap",184786,6700,Estate Agency,2,27.58,1,Tenement,primary,BiĹ‚goraj,Lublin,January,2022,27169,22.7209326,50.5424846
Mieszkanie na sprzedaĹĽ,185000,5000,Private,1,37,1,Housing Block,primary,KraĹ›nik,Lublin,January,2022,35788,22.229206,50.9249236
Mieszkania od 28 m2,154000,5500,Estate Agency,0,28,1,Housing Block,primary,Strzelce KrajeĹ„skie,Lubusz,January,2022,10109,15.5325925,52.8785255
"Mieszkanie 29,9m2 + balkon + ogrĂłdek-45m2",180895,6050,Estate Agency,0,29.9,1,Apartment Building,primary,Kutno,Lodzkie,January,2022,45657,19.3570182,52.2317559
"Kawalerka 29,9m2 z balkonem! Lawenda-kolejny etap!",169832,5680,Estate Agency,3,29.9,1,Apartment Building,primary,Kutno,Lodzkie,January,2022,45657,19.3570182,52.2317559
"Mieszkanie 29,9m2 + taras,ogrĂłdek,balkon - 130,6m2! oddanie 2023r",194350,6500,Estate Agency,0,29.9,1,Apartment Building,primary,Kutno,Lodzkie,January,2022,45657,19.3570182,52.2317559
Sprzedam mieszkanie wĹ‚asnoĹ›ciowe.,193000,7148.15,Private,4,27,1,Housing Block,primary,OzorkĂłw,Lodzkie,January,2022,20175,19.2918111,51.9636101
Mieszkanie 25 m2 w nowej atrakcyjnej inwestycji LEVITYN,175000,7000,Estate Agency,3,25,1,Apartment Building,primary,Pabianice,Lodzkie,January,2022,67688,19.3535024,51.6639859
"Nowe jednopokojowe mieszkanie- studio-PiotrkĂłw Tryb,ul. Nowy Ĺšwiat 3",190710,6500,Estate Agency,1,29.34,1,Housing Block,primary,PiotrkĂłw Trybunalski,Lodzkie,January,2022,75903,19.696167,51.4082625
Nowe Mieszkanie Radomsko BrzeĹşnicka,179000,5695.2,Estate Agency,3,31.43,1,Housing Block,primary,Radomsko,Lodzkie,January,2022,47643,19.4446109,51.0674769
Park Chopina | etap 2 | kawalerka | 34 m2 | 2 piÄ™tro,205800,6000,Estate Agency,2,34.3,1,Housing Block,primary,TomaszĂłw Mazowiecki,Lodzkie,January,2022,64893,20.0084195,51.5316918
Park Chopina | 34-62 m2 | 1-3 pokoje | taras-balkon | parter-3 piÄ™tro,6000,6000,Estate Agency,3,1,1,Housing Block,primary,TomaszĂłw Mazowiecki,Lodzkie,January,2022,64893,20.0084195,51.5316918
Sprzedam mieszkanie 28m kawalerka.,95000,3392.86,Private,4,28,1,Housing Block,primary,ZelĂłw,Lodzkie,January,2022,7833,19.2184947,51.4652772
Klimatyzowana Kawalerka w Nowym Apartamentowcu,296000,10999.63,Estate Agency,2,26.91,1,Apartment Building,primary,ĹĂłdĹş,Lodzkie,January,2022,711332,19.4569911,51.7687323
Sprzedam apartament 1 pok ĹĂłdĹş WiszÄ…ce Ogrody,345000,10454.55,Private,1,33,1,Apartment Building,primary,ĹĂłdĹş,Lodzkie,January,2022,711332,19.4569911,51.7687323
"ROI 7,2% - piÄ™kna kawalerka  ul SĹ‚owiaĹ„ska - inwestycja Cena 159 000zĹ‚",159000,9937.5,Estate Agency,2,16,1,Tenement,primary,ĹĂłdĹş,Lodzkie,January,2022,711332,19.4569911,51.7687323
"Nowy Apartament 38,64m2 - Strykowska 20 ĹĂłdĹş",310000,8022.77,Private,1,38.64,1,Apartment Building,primary,ĹĂłdĹş,Lodzkie,January,2022,711332,19.4569911,51.7687323
Kawalerka centrum Nawrot NOWA INWESTYCJA,192000,7111.11,Estate Agency,1,27,1,Apartment Building,primary,ĹĂłdĹş,Lodzkie,January,2022,711332,19.4569911,51.7687323
"Mieszkanie sprzedam w Bochni obok galerii ( garaĹĽ ,ogrĂłdek , parking )",297000,6600,Private,0,45,1,Housing Block,primary,Bochnia,Lesser Poland,January,2022,30219,20.430541,49.9693563
"Kawalerka, 32m2, balkon, garaĹĽ podziemny, F-VAT, BieĹĽanĂłw",366000,11391.22,Private,1,32.13,1,Housing Block,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
Lokal mieszkalno-uĹĽytkowy  super lokalizacja,255000,13783.78,Estate Agency,2,18.5,1,Housing Block,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
Jasne mieszkanie dla singla lub studenta z duĹĽym 15 m2 balkonem.,220640,14000,Estate Agency,4,15.76,1,Apartment Building,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
"Mini apartament | 1 pok | 23,68 m2 | Ruczaj",281792,11900,Estate Agency,1,23.68,1,Other,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
